candidate_id,rank,score,reasoning
CAND_0018499,1,0.83602,"Senior Machine Learning Engineer at Zomato, 7 yrs exp (within JD range 5–9); matches 8/14 core JD skills (faiss, ndcg, pinecone...). Strong fit: based in Noida, Uttar Pradesh (preferred JD location); actively open to work; strong GitHub activity (94.8/100)."
CAND_0046064,2,0.76743,"Senior NLP Engineer at Salesforce, 9 yrs exp (within JD range 5–9); matches 8/14 core JD skills (faiss, ndcg, pinecone...). Strong fit: in Coimbatore, Tamil Nadu, not willing to relocate; actively open to work; strong GitHub activity (67.3/100)."
CAND_0007009,3,0.757792,"Recommendation Systems Engineer at Wysa, 8 yrs exp (within JD range 5–9); matches 6/14 core JD skills (faiss, pinecone, opensearch...). Strong fit: based in Noida, Uttar Pradesh (preferred JD location); actively open to work; strong GitHub activity (69.2/100)."
CAND_0039754,4,0.731273,"Senior Applied Scientist at Meta, 16 yrs exp (above JD max of 9); matches 10/14 core JD skills (faiss, ndcg, pinecone...). Strong fit: in Indore, Madhya Pradesh, not willing to relocate; actively open to work; strong GitHub activity (77.5/100)."
CAND_0041669,5,0.704361,"Recommendation Systems Engineer at CRED, 8 yrs exp (within JD range 5–9); matches 7/14 core JD skills (faiss, pinecone, embeddings...). Strong fit: based in Noida, Uttar Pradesh (preferred JD location); actively open to work; strong GitHub activity (70.9/100)."
CAND_0081846,6,0.703394,"Lead AI Engineer at Razorpay, 7 yrs exp (within JD range 5–9); matches 7/14 core JD skills (faiss, ndcg, embeddings...). Strong fit: in Jaipur, Rajasthan, not willing to relocate; actively open to work."
CAND_0027691,7,0.699293,"NLP Engineer at Haptik, 6 yrs exp (within JD range 5–9); matches 5/14 core JD skills (faiss, embeddings, ranking...). Strong fit: based in Pune, Maharashtra (preferred JD location); actively open to work."
CAND_0068811,8,0.696062,"Applied ML Engineer at Freshworks, 8 yrs exp (within JD range 5–9); matches 6/14 core JD skills (pinecone, opensearch, embeddings...). Strong fit: based in Pune, Maharashtra (preferred JD location); actively open to work."
CAND_0052328,9,0.692055,"Recommendation Systems Engineer at Amazon, 6 yrs exp (within JD range 5–9); matches 4/14 core JD skills (pinecone, opensearch, embeddings...). Strong fit: based in Pune, Maharashtra (preferred JD location); actively open to work; strong GitHub activity (77.6/100)."
CAND_0086022,10,0.690481,"Senior Applied Scientist at Sarvam AI, 5 yrs exp (within JD range 5–9); matches 7/14 core JD skills (faiss, ndcg, pinecone...). Strong fit: in Kolkata, West Bengal, not willing to relocate; actively open to work; strong GitHub activity (75.2/100)."
CAND_0094759,11,0.665666,"Lead AI Engineer at Meta with 9 yrs exp (within JD range 5–9); matches 7/14 core JD skills (faiss, ndcg, embeddings...). In mumbai, maharashtra, willing to relocate, notice ≤30d; response rate 11%."
CAND_0099806,12,0.654182,"AI Engineer at Mad Street Den with 5 yrs exp (below JD min of 5); matches 6/14 core JD skills (faiss, embeddings, qdrant...). In bhubaneswar, odisha, not willing to relocate, notice ≤30d; actively open to work."
CAND_0079387,13,0.652987,"AI Engineer at Microsoft with 7 yrs exp (within JD range 5–9); matches 6/14 core JD skills (faiss, pinecone, opensearch...). In trivandrum, kerala, not willing to relocate, notice ≤30d; actively open to work."
CAND_0002025,14,0.651265,"Senior AI Engineer at Apple with 6 yrs exp (within JD range 5–9); matches 6/14 core JD skills (faiss, pinecone, opensearch...). In trivandrum, kerala, not willing to relocate, notice ≤30d; actively open to work."
CAND_0046525,15,0.650639,"Senior Machine Learning Engineer at Genpact AI with 6 yrs exp (within JD range 5–9); matches 7/14 core JD skills (faiss, ndcg, embeddings...). Based in pune, maharashtra (preferred jd location), notice 60d; actively open to work."
CAND_0071939,16,0.643273,"Data Scientist at Krutrim with 6 yrs exp (within JD range 5–9); matches 4/14 core JD skills (opensearch, embeddings, qdrant...). Based in pune, maharashtra (preferred jd location), notice ≤30d; actively open to work."
CAND_0048558,17,0.637945,"Data Scientist at Rephrase.ai with 7 yrs exp (within JD range 5–9); matches 4/14 core JD skills (opensearch, qdrant, ranking...). Based in noida, uttar pradesh (preferred jd location), notice ≤30d; actively open to work."
CAND_0090656,18,0.636781,"Graphic Designer at Stark Industries with 5 yrs exp (within JD range 5–9); matches 5/14 core JD skills (faiss, pinecone, embeddings...). Based in pune, maharashtra (preferred jd location), notice ≤30d; actively open to work."
CAND_0046698,19,0.623025,"Graphic Designer at Dunder Mifflin with 7 yrs exp (within JD range 5–9); matches 5/14 core JD skills (faiss, pinecone, embeddings...). Based in pune, maharashtra (preferred jd location), notice ≤30d; actively open to work."
CAND_0042506,20,0.622045,"Search Engineer at Verloop.io with 4 yrs exp (below JD min of 5); matches 6/14 core JD skills (faiss, pinecone, embeddings...). In mumbai, maharashtra, not willing to relocate, notice ≤30d; actively open to work."
CAND_0041611,21,0.619447,"Staff Machine Learning Engineer at Locobuzz with 6 yrs exp (within JD range 5–9); matches 8/14 core JD skills (faiss, ndcg, opensearch...). Outside india (usa), notice ≤30d; response rate 7%."
CAND_0040887,22,0.619206,"Machine Learning Engineer at Netflix with 5 yrs exp (below JD min of 5); matches 6/14 core JD skills (faiss, pinecone, embeddings...). Outside india (canada), notice ≤30d; actively open to work."
CAND_0009734,23,0.619005,"Accountant at Wayne Enterprises with 9 yrs exp (within JD range 5–9); matches 5/14 core JD skills (faiss, pinecone, embeddings...). Based in pune, maharashtra (preferred jd location), notice ≤30d; response rate 46%."
CAND_0054394,24,0.61754,"Recommendation Systems Engineer at PharmEasy with 4 yrs exp (below JD min of 5); matches 5/14 core JD skills (faiss, pinecone, embeddings...). Based in pune, maharashtra (preferred jd location), notice ≤30d; actively open to work."
CAND_0022484,25,0.616939,"Mechanical Engineer at Dunder Mifflin with 4 yrs exp (below JD min of 5); matches 5/14 core JD skills (faiss, pinecone, embeddings...). Based in noida, uttar pradesh (preferred jd location), notice ≤30d; actively open to work."
CAND_0020877,26,0.608494,"Applied ML Engineer at CRED with 5 yrs exp (within JD range 5–9); matches 8/14 core JD skills (faiss, pinecone, opensearch...). In gurgaon, haryana, not willing to relocate, notice 60d; response rate 66%."
CAND_0047431,27,0.607121,"Project Manager at Pied Piper with 11 yrs exp (above JD max of 9); matches 5/14 core JD skills (faiss, pinecone, embeddings...). Based in pune, maharashtra (preferred jd location), notice ≤30d; response rate 45%."
CAND_0066999,28,0.606725,"Recommendation Systems Engineer at Microsoft with 6 yrs exp (within JD range 5–9); matches 5/14 core JD skills (faiss, pinecone, opensearch...). In delhi, delhi, willing to relocate, notice ≤30d; actively open to work."
CAND_0036437,29,0.603768,"Search Engineer at Rephrase.ai with 5 yrs exp (below JD min of 5); matches 6/14 core JD skills (faiss, opensearch, milvus...). In kolkata, west bengal, not willing to relocate, notice ≤30d; active recently (18d ago)."
CAND_0024327,30,0.60306,"Mechanical Engineer at Stark Industries with 7 yrs exp (within JD range 5–9); matches 5/14 core JD skills (faiss, pinecone, embeddings...). Based in noida, uttar pradesh (preferred jd location), notice ≤30d; inactive 241 days."
CAND_0050454,31,0.601015,"7 yrs exp (within JD range 5–9) as AI Engineer; matches 4/14 core JD skills (faiss, qdrant, ranking...). Gap: partial skill overlap with JD. In delhi, delhi, willing to relocate, notice ≤30d, actively open to work."
CAND_0066395,32,0.597795,"7 yrs exp (within JD range 5–9) as Sales Executive; matches 5/14 core JD skills (faiss, pinecone, embeddings...). Gap: partial skill overlap with JD. Based in pune, maharashtra (preferred jd location), notice ≤30d, response rate 56%."
